[02/10/22 17:07:10] HIDS starting.
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\decisiones.txt ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\Archivo1.txt ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\Archivo2.txt ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\binarios\fakeSMTP-2.0.jar ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File1.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File107.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File108.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File109.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File11.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File110.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File114.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File117.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File118.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File119.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File12.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File120.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File122.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File125.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File127.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File128.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File13.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File131.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File133.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File134.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File137.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File14.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File141.doc ok
